total_score,Grid_score,Transform_accept_ratio,angle_constraint,atom_pair_constraint,chainbreak,classic_grid_X,coordinate_constraint,dihedral_constraint,dslf_ca_dih,dslf_cs_ang,dslf_ss_dih,dslf_ss_dst,fa_atr,fa_dun,fa_elec,fa_pair,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,if_X_angle_constraint,if_X_atom_pair_constraint,if_X_chainbreak,if_X_coordinate_constraint,if_X_dihedral_constraint,if_X_dslf_ca_dih,if_X_dslf_cs_ang,if_X_dslf_ss_dih,if_X_dslf_ss_dst,if_X_fa_atr,if_X_fa_dun,if_X_fa_elec,if_X_fa_pair,if_X_fa_rep,if_X_fa_sol,if_X_hbond_bb_sc,if_X_hbond_lr_bb,if_X_hbond_sc,if_X_hbond_sr_bb,if_X_omega,if_X_p_aa_pp,if_X_pro_close,if_X_ref,interface_delta_X,ligand_centroid_travel_X,ligand_is_touching_X,ligand_radius_of_gyration_X,ligand_rms_no_super_X,ligand_rms_with_super_X,omega,p_aa_pp,pro_close,ref,total_score_X,description
-791.965,-47.000,0.488,0.000,0.000,0.000,-48.000,5.083,0.000,0.323,1.957,15.925,-3.631,-1703.528,541.813,-30.602,-34.347,278.238,770.425,-27.049,-17.592,-40.072,-541.962,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-23.537,0.000,0.217,0.062,2.267,9.468,-0.085,0.000,-0.437,0.000,0.000,0.000,0.000,0.000,-12.045,0.123,1.000,3.651,0.272,0.000,55.636,-22.288,45.705,-86.000,-48.000,3pbl_ETQ_0137
-789.852,-47.000,0.480,0.000,0.000,0.000,-47.000,5.017,0.000,0.323,1.957,15.925,-3.631,-1703.147,541.066,-30.779,-34.126,275.934,770.365,-26.900,-17.548,-38.990,-538.678,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-23.287,0.000,0.163,0.064,2.411,9.369,-0.020,0.000,-0.637,0.000,0.000,0.000,0.000,0.000,-11.937,0.170,1.000,3.651,0.306,0.000,55.006,-21.946,46.297,-86.000,-47.000,3pbl_ETQ_0097
-793.366,-47.000,0.454,0.000,0.000,0.000,-47.000,4.521,0.000,0.323,1.957,15.925,-3.631,-1703.846,541.197,-30.998,-34.195,284.722,771.113,-26.837,-17.684,-39.666,-547.299,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-23.202,0.000,0.157,0.058,2.435,9.289,-0.010,0.000,-0.648,0.000,0.000,0.000,0.000,0.000,-11.921,0.226,1.000,3.651,0.326,0.000,54.421,-22.478,45.087,-86.000,-47.000,3pbl_ETQ_0004
-791.539,-47.000,0.516,0.000,0.000,0.000,-48.000,4.587,0.000,0.325,2.075,16.004,-3.685,-1703.933,540.769,-30.739,-34.396,278.336,770.848,-27.703,-17.642,-39.792,-540.374,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-23.396,0.000,0.214,0.062,2.282,9.382,-0.071,0.000,-0.391,0.000,0.000,0.000,0.000,0.000,-11.918,0.165,1.000,3.651,0.300,0.000,55.270,-21.786,46.297,-86.000,-48.000,3pbl_ETQ_0106
-791.107,-47.000,0.524,0.000,0.000,0.000,-47.000,4.990,0.000,0.325,2.054,15.992,-3.679,-1702.769,541.076,-31.057,-34.146,277.437,770.456,-27.437,-17.645,-39.395,-540.610,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-23.620,0.000,0.152,0.045,2.693,9.470,-0.011,0.000,-0.626,0.000,0.000,0.000,0.000,0.000,-11.897,0.161,1.000,3.651,0.281,0.000,54.887,-21.880,46.297,-86.000,-47.000,3pbl_ETQ_0169
-790.609,-47.000,0.498,0.000,0.000,0.000,-48.000,4.862,0.000,0.323,1.957,15.925,-3.631,-1703.923,541.609,-30.757,-34.419,283.642,770.775,-27.387,-17.650,-40.056,-543.068,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-23.355,0.000,0.203,0.039,2.506,9.330,-0.011,0.000,-0.595,0.000,0.000,0.000,0.000,0.000,-11.884,0.174,1.000,3.651,0.318,0.000,54.612,-22.470,45.046,-86.000,-48.000,3pbl_ETQ_0189
-792.500,-47.000,0.510,0.000,0.000,0.000,-48.000,5.036,0.000,0.323,1.957,15.925,-3.631,-1703.465,541.036,-30.794,-34.199,278.365,770.304,-26.690,-17.684,-38.755,-544.488,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-23.910,0.000,0.242,-0.016,2.539,9.719,-0.099,0.000,-0.340,0.000,0.000,0.000,0.000,0.000,-11.864,0.217,1.000,3.651,0.352,0.000,55.872,-21.910,46.297,-86.000,-48.000,3pbl_ETQ_0003
-791.769,-47.000,0.522,0.000,0.000,0.000,-47.000,6.003,0.000,0.323,1.957,15.925,-3.631,-1703.523,542.258,-31.093,-34.124,276.542,770.305,-28.162,-17.684,-39.150,-541.515,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-23.496,0.000,0.131,0.060,2.537,9.572,-0.013,0.000,-0.651,0.000,0.000,0.000,0.000,0.000,-11.860,0.183,1.000,3.651,0.321,0.000,55.274,-21.772,46.297,-86.000,-47.000,3pbl_ETQ_0063
-793.958,-47.000,0.494,0.000,0.000,0.000,-47.000,5.035,0.000,0.324,2.055,15.987,-3.671,-1703.509,541.331,-30.877,-34.381,276.367,770.620,-26.823,-17.662,-41.355,-541.306,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-23.445,0.000,0.183,0.060,2.551,9.475,-0.018,0.000,-0.649,0.000,0.000,0.000,0.000,0.000,-11.843,0.133,1.000,3.651,0.279,0.000,55.566,-21.958,46.297,-86.000,-47.000,3pbl_ETQ_0030
-791.208,-47.000,0.534,0.000,0.000,0.000,-47.000,5.638,0.000,0.323,1.957,15.925,-3.631,-1703.455,541.332,-30.853,-34.333,276.967,770.141,-27.333,-17.540,-38.980,-540.761,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-23.648,0.000,0.176,0.043,2.615,9.648,-0.073,0.000,-0.604,0.000,0.000,0.000,0.000,0.000,-11.842,0.130,1.000,3.651,0.355,0.000,54.923,-21.827,46.297,-86.000,-47.000,3pbl_ETQ_0035
-791.472,-47.000,0.530,0.000,0.000,0.000,-47.000,4.974,0.000,0.323,1.957,15.925,-3.631,-1704.007,542.000,-30.692,-34.256,278.692,770.431,-27.528,-17.684,-38.857,-543.185,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-23.480,0.000,0.156,0.062,2.638,9.450,-0.010,0.000,-0.640,0.000,0.000,0.000,0.000,0.000,-11.825,0.217,1.000,3.651,0.365,0.000,55.884,-22.116,46.297,-86.000,-47.000,3pbl_ETQ_0140
-791.363,-47.000,0.512,0.000,0.000,0.000,-48.000,5.145,0.000,0.323,1.957,15.925,-3.631,-1703.002,542.424,-30.715,-34.051,276.762,769.856,-27.746,-17.700,-38.573,-542.343,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-23.541,0.000,0.199,0.046,2.507,9.380,-0.075,0.000,-0.323,0.000,0.000,0.000,0.000,0.000,-11.807,0.199,1.000,3.651,0.341,0.000,55.921,-22.212,46.297,-86.000,-48.000,3pbl_ETQ_0036
